season,episode_number,episode_name,air_date,overview,runtime,guest_stars,crew,cast,image
1,2,The First Cut is the Deepest,2005-04-03,"The surgical staff tries to be optimistic as a young woman clings to life after a brutal attack. Meanwhile Meredith puts her career on the line to save a newborn in the hospital nursery, and the other interns learn that it takes more than just medical knowledge to be good at their jobs.",43,"Alice Lo, Gary Kraus, Elise Robertson, Stacey Hinnen, Kerry Carney, Kerri Higuchi, Dennis Gubbins, Scarlett Lam, Kylie Milne, Sonia Jackson, Wally Rudolph, Scott Michael Morgan, Cindy Drummond, Stephen Blackehart, Patricia Harris-Smith, Debra D. Holt, Nate Reese, Joan McCrea, Linda Nile, Kristy Munden, Robin Pearson Rose, Anjul Nigam, Kate Burton","Peter Horton (Director), Shonda Rhimes (Writer)",,/hUZqLPPhBBO2lrpQEjAYV4X1jw6.jpg
1,3,"Winning a Battle, Losing the War",2005-04-10,"A bike race injures several pedestrians as well as well as participants.  One pedestrian is left brain dead.  Christina and Issie wish to use his organs for organ donation but with Christina's detachment and Issie's ever hopeful attitude that the man will recover, they will find the organ harvesting process an emotional one.  Preston faces feelings of his dislike of organ harvesting - as a surgeon, he likes saving lives; harvesting organs doesn't save the person's life.  George deals with Mac, a friend of the chief, who won't stop flirting with him.  He is in need of a new liver.   Meredith is fed up with Alex showing off as she continues trying to push Derek away.  She also is reaching the limits of Issie's sunshine and George's politeness as she goes on living with them.  Then there is their desire to see Meredith's mother's medical tapes.  Getting through the day, Meredith realizes the keys to winning the race.",43,"Keith David, Callum Blue, Claire Lautier, Zina Zaflow, Rudy McCollum, Kristy Munden, Steven W. Bailey, Kathleen M. Darcy","Tony Goldwyn (Director), Shonda Rhimes (Writer)",,/v2EELmyHxzxw1TlKOAVwwSpUbAJ.jpg
1,4,No Man's Land,2005-04-17,"While George is feeling a little less masculine because of the way Izzie and Meredith have been treating him (like a sister), Izzie is assigned to a patient about to loose all of his masculinity. Cristina, true to her competitive spirit, shows up early and assigns herself to an ill woman, who happens to have been Meredith's moms scrub nurse. Alex, meanwhile, is busying himself copying and pasting pictures of Izzie's racy magazine spread all over the interns' locker room. And while Meredith is trying to cope with her mother's Alzheimer's, Derek treats a patient who has managed to get nails stuck in his head.",43,"Taylor Nichols, Valerie Cruz, Anna Maria Horsford, Tom Choi, F.J. Rio, Chris Hendrie, Jack Merrill, Maurice J. Irvin, Kate Burton","Adam Davidson (Director), James D. Parriott (Writer)",,/h7ensI2tBmsoxPzSJGkQJ5Tja7q.jpg
1,5,Shake Your Groove Thing,2005-04-24,"Meredith realizes that she must take on a lot more responsibility when she is told that her mother needs to sign over all of her assets to her. As Izzie prepares to have a party for her boyfriend Hank (the scale of which is unknown to Meredith), Meredith has her first heart surgery.  During the surgery she fears that she has fallen asleep and damaged the patient's heart. Meanwhile, Cristina and Burke hit it off. At the party, Meredith and Derek get caught together by Dr. Bailey.",43,"Kathryn Joosten, Jonathan Scarfe, Barry Shabaka Henley, Jeff Doucette, Brent Sexton, Steven W. Bailey, Kate Forster, Jane Morris, Maurice J. Irvin, Kate Burton","John David Coles (Director), Ann Hamilton (Writer)",,/uudOHWmFPnSsB8CgKJS1zJFeCUo.jpg
1,6,If Tomorrow Never Comes,2005-05-01,"Izzie tries to get George to find the courage to ask Meredith out.   All of the interns are in awe when a woman comes in with a record breaking tumor, but it is so far advanced that the woman's prognosis is not good.   Now that Bailey knows about Meredith and Derek's affair, their jobs are in jeopardy, and she advises Meredith to end it.   Meanwhile, Cristina and Burke's secret relationship is also getting more complicated...",43,"Bruce Weitz, Lara Phillips, Alex Alexander, Jane Galloway Heitz, Steven W. Bailey, Sean Palmer, Patricia Bethune, Yvonne Farrow, Yolanda Snowball, Wally Rudolph, Sharmila Devar, Noelle McCutchen, Maurice J. Irvin","Scott Brazil (Director), Krista Vernoff (Writer)",,/jpM6NTHIfIsUbTuGxC4Oe6yv0bB.jpg
1,7,The Self-Destruct Button,2005-05-08,"Derek and Meredith try (unsuccessfully) to be discreet as they spend the night together at Meredith's house, but their haggard appearance speaks volumes to everyone - including Bailey, who warns Meredith to end the relationship. Meanwhile George suspects an anesthesiologist of drinking on the job but is reluctant to speak up about it, Alex treats a former competitor who now finds honor in self-mutilation, Izzie has to deal with a patient who won't let go of his girlfriend - literally, and Cristina seems to be battling a case of the flu.",43,"Russell Hornsby, Kim Morgan Greene, Joseph Kell, Regan Forman, Steve Monroe, Ever Carradine, Bill Birch, Larry Cahn, Shenita Moore, Sarah Utterback","Kip Koenig (Writer), Darnell Martin (Director)",,/7tW3SNVhgk4lCKIoGc6eMavYUcP.jpg
1,8,Save Me,2005-05-15,"Meredith grows increasingly dissatisfied with the unknown details of Derek's life. Meanwhile, Alex treats Devo, a patient whose religious beliefs jeopardize her chances for recovery; Izzie contemplates reconnecting with her estranged mother; Zoey, a pregnant woman in her 40s who's been diagnosed with cancer, disagrees with Cristina's medical advice; and the interns are mystified by Cable, a patient who's being treated for seizures and who thinks he's psychic.",43,"Ping Wu, Chad Einbinder, Lisa Kaminir, Kevin Rahm, Sarah Hagan, Anjul Nigam, Josh Stamberg, Joan McMurtrey, Steven W. Bailey, Kathleen Bailey, Sarah Utterback","Sarah Pia Anderson (Director), Mimi Schmir (Writer)",,/4To0Qjn8NQTZ37XoyLYeitVo4mM.jpg
1,9,Who's Zoomin' Who?,2005-05-22,"A sexually transmitted disease breaks out and affects several members of the hospital staff. Chief Webber promptly calls a meeting. Meanwhile, the chief reluctantly tells Dr. Derek Shepherd about his own medical concerns. Izzie and Cristina worry about a patient's wife and daughter who can't agree on his care. Burke treats his college buddy Bill, whose medical diagnosis raises some questions regarding his wife's actions. Then just as Meredith and Derek grow more intimate, a surprise is revealed.",43,"Kate Walsh, Wayne Wilderson, Lauren Bowles, Wendy Davis, Catherine Dao, Joyce Guy, Patty McCormack, Jack Shearer, Robin Pearson Rose, Jack Merrill, Sarah Utterback","Wendey Stanzler (Director), Gabrielle G. Stanton (Writer), Harry Werksman (Writer)",,/28UliqxlAfGldv8UX0rAS5MkNVq.jpg
2,1,Raindrops Keep Falling On My Head,2005-09-25,"Picks up where the last episode left off. Meredith attempts to work with Addison Shepard. George is pimped out to relay the hospital gossip back to Webber. Meredith and Cristina relate at Emerald City Bar about what dating their respective attendings is like. Cristina ponders her relationship with Burke while trying to make a decision. Meredith is devastated by the latest blow to her love life. Meanwhile, Joe the bartender collapses.",43,"Steven W. Bailey, Wendy Gazelle, Noelle McCutchen, Robin Pearson Rose, Linda Klein","Peter Horton (Director), Stacy McKee (Writer)",,/s0jIFd5zkqta2MH8lqYml9mB8Yg.jpg
2,2,Enough is Enough (No More Tears),2005-10-02,There's tension between Meredith and Addison. We find out why Derek and Addison aren't together. Bailey puts George on an impossible case. The rest of the interns operate on a family that was just in a car accident.,43,"Loretta Devine, Lukas Behnken, Romy Rosemont, Scott Michael Campbell, Jim Gleason, Peter Birkenhead, David Haley, John Cappon, Yvette Cruise, Johanna McKay, Robin Pearson Rose, Jeremy Rabb, Linda Klein, Sarah Utterback","Peter Horton (Director), James D. Parriott (Writer)",,/azS9GfgnWbYRSY6gZ86xNU3h5se.jpg
2,3,Make Me Lose Control,2005-10-09,Cristina and Meredith try to figure out if Cristina should tell Burke that she's pregnant right before Cristina faces an emergency. Alex and Izzie get closer while Meredith's mother gets too close.,43,"Angela Goethals, Noelle McCutchen, Jeremy Rabb, Linda Klein, Kate Burton","Krista Vernoff (Writer), Adam Davidson (Director)",,/wvVEZro0p6XD3Joib9l8tbAphOA.jpg
2,4,"Deny, Deny, Deny",2005-10-16,"As Cristina tries to recover, she proves to be a very difficult patient, and a visit from her mother doesn't improve her demeanor any. And Meredith's mother, Dr. Ellis Grey, has the hospital staff running in circles.",43,"Thomas Ian Nicholas, Lee Garlington, Katherine LaNasa, Steven W. Bailey, Don McManus, Tsai Chin, Noelle McCutchen, Linda Eve Miller, Kathleen M. Darcy, Maurice J. Irvin, Kate Burton","Zoanne Clack (Writer), Wendey Stanzler (Director)",,/bjctwD6VsFcB9qmWPliEivfLEPM.jpg
2,5,Bring the Pain,2005-10-23,Cristina goes right back to working right after being discharged. Izzie isn't talking to Alex. Derek and Meredith treat a patient. George and Alex get stuck in an elevator.,43,"Michelle Krusiec, Mimi Kennedy, Daniel Bess, Steven W. Bailey, François Chau, Brent Briscoe, Sean Moran, Jeremy Rabb, Bashir Salahuddin, Kate Burton","Mark Tinker (Director), Shonda Rhimes (Writer)",,/7oE7YQX1z3vpOkV5e4U4eNsSYMm.jpg
2,6,Into You Like a Train,2005-10-30,Train Wreck victims come to Seattle Grace and all staff gets called in. Everyone deals with really weird cases. Except Addison and Izzie. They work with a woman who is pregnant.,43,"Bruce A. Young, Kym Whitley, Michelle Arthur, Cynthia Ettinger, Steven W. Bailey, Monica Keena, Kerry Carney, Juliette Jeffers, Karen Lew, Patricia Bethune, Ariel Felix, Derick Alexander, Yvette Cruise, Robin Pearson Rose, Rigo Sanchez, Linda Klein, Maurice J. Irvin, Ray Ford","Jeff Melman (Director), Krista Vernoff (Writer)",,/8yCWimbaHA4iGH5Xs7aryz01sPi.jpg
2,7,Something to Talk About,2005-11-06,"Cristina, Izzie and Meredith take care of Shane, a man who appears to be crazy and claims that he is pregnant. Shane's case induces a spreading fascination among the staff. George relates to a patient's husband.",43,"Tyrees Allen, Reni Santoni, Steven W. Bailey, Kerry Carney, Michelle Ongkingco, Elaine Kagan, Francis Guinan, Patti Yasutake, Joseph Sikora, Alie Ward, Cathy Lind Hayes, Maile Flanagan, Peyton Hinson, Keeshan Giles, Larry Weissman, Gianin Loffler, Maurice J. Irvin","Adam Davidson (Director), Stacy McKee (Writer)",,/i1ZveJBxkNcCptF0u0CPZBW9z4N.jpg
2,8,Let It Be,2005-11-13,Meredith tries to avoid the Shepherds. Cristina and Burke go out on a date and end up getting caught up in their jobs. Derek asks Meredith not to ignore him until Addison comes walking around the corner.,43,"Arija Bareikis, Shelley Berman, Joseph Lyle Taylor, Geoffrey Rivas, Brittany Ishibashi, Janet Rotblatt, Kate Blumberg, Kathleen M. Darcy, Linda Klein, Kai Lennox, Ray Ford","Lesli Linka Glatter (Director), Mimi Schmir (Writer)",,/h5C050qJOvLRnldOFbbJs6A7jB0.jpg
2,9,Thanks for the Memories,2005-11-20,It's Thanksgiving at Seattle Grace Hospital but the holiday's festivites are less than in order. Meredith and Derek try to counsel a family after their relative has had a seriously traumatic accident.,43,"Brian Kerwin, Greg Pitts, Andrew James Allen, George Dzundza, Steven W. Bailey, Tim Griffin, Michael Matthys, Dee Nelson, Jack Yang, Gregor Manns, Mike Faiola, Sarah Utterback","Michael Dinner (Director), Shonda Rhimes (Writer)",,/lXV0P1tVG11qbA6jhmalgvtOMks.jpg
2,10,Much Too Much,2005-11-27,"Dorie Russell is waiting for quintuplets, all 5 girls. Her husband seems more concerned than she is but she is set to bring her babies to their term of 36 weeks. All the departments are on call for the quintuplets as three of them have developped problems of different kinds.    Meredith last night's stand shows up at the hospital with priapism and they need to call Derek Sheperd for a consult which puts Meredith in a very embarassing position. Alex and Derek must take care of a patient who has a tumor inducing thirst as a side effect.   On the love side, Alex and Izzie are having some slight sexual problems, while Meredith goes on adding one night stands and Cristina is thrown off course by being ""keyed.""",43,"Curtis Armstrong, Sunkrish Bala, Jon Hershfield, Margaret Welsh, Pat Healy, Robin Pearson Rose, Sarah Utterback","Wendey Stanzler (Director), Gabrielle G. Stanton (Writer), Harry Werksman (Writer)",,/qiTQKsTKEwB8Buu8yHVYsTbbxA6.jpg
2,11,Owner of a Lonely Heart,2005-12-04,"Cristina Yang has little sympathy for Constance Ferguson (special guest star Rosanna Arquette), a prison inmate who jeopardizes her health just to get out of solitary confinement. Meanwhile the interns all keep careful watch on the family of premature quintuplets with a variety of serious health challenges, Izzie's anger at Alex reaches boiling point, and Dr. Addison Shepherd decides to teach Izzie a very painful lesson.",43,"Curtis Armstrong, Rosanna Arquette, Timothy Bottoms, Patricia Bethune, Margaret Welsh, Pat Healy, Elaine Kao, Sarah Utterback","Daniel Minahan (Director), Mark Wilding (Writer), Chandra Wilson (Director)",,/s6a8v7VeCZtRezf3ef5EZo6R5mk.jpg
2,12,Grandma Got Run Over By a Reindeer,2005-12-11,"The holiday season has started but not everyone is in a festive mood. This is Alex's last day in the hospital unless he passes his boards practical exam the next day, thus everyone helps him to review so that he succeeds. However, Izzie is not happy about the others helping him and Meredith has to remind her of the true spirit of the Christmas holiday. Justin is in need of a new heart. One is available but he does not want it because he does not believe Santa gave it to him as his mother said. Cristina and Burke, both handling Justin's case, have opposing views on the matter due to their different stances on religion. Despite a reconciliation with his wife, Derek isn't in a festive mood. George has a simple case of a woman who has a bleeding ulcer, he realizes that the ulcer is caused by her entourage but fails to keep them away, with the consequence that it perforates.",43,"Helen Slater, C.J. Sanders, Michael Hyatt, Steven W. Bailey, Andrew Bilgore, Kathe Mazur, Richard Jenik, Alan Fudge, Troy Curvey Jr., Robin Pearson Rose, Linda Klein, Kathleen M. Darcy, Jenny O'Hara","Peter Horton (Director), Krista Vernoff (Writer)",,/aJsErfDTl0R9cjNsM9BF58fIs2f.jpg
2,13,Begin the Begin,2006-01-15,"Cristina is bothered by a new year's mandatory work limit. Izzie patient, Denny Duquette, wants two things: 1. a heart transplant, 2. Izzie. Addison detests Derek's trailer, Derek visits Meredith's mom, George treats a young teen hermaphrodite frustrated by her  pre-pubescence. Other news includes patients doing uncanny things and relationship havoc being wrecked between the doctors, as per usual.",43,"Lauren Tom, Shannon Cochran, Stephen Spinella, John Prosky, Becca Gardner, Joyce Guy, Rob Narita, Linda Klein, Jeffrey Dean Morgan, Kate Burton","Jessica Yu (Director), Kip Koenig (Writer)",,/vyuxzLPA73NABAiEs92w4p1C6qf.jpg
2,14,Tell Me Sweet Little Lies,2006-01-22,"Meredith and Cristina lie to each other and themselves about their relationships with McDreamy and Burke, respectively.  George is given a hard task to expel a discharged and defiant woman from the hospital. Alex learns his fate after re-taking his medical exams. At the same time Izzie is trying to stop Alex from making stupid decisions when a patient that doesn't speak English is lied to by her coach. George, Cristina, and Alex compete in a hot dog eating competition.",43,"Donovan Leitch, Carole Cook, Jill Holden, Christopher Boyer, Robin Pearson Rose, Nancy Linari, Cathy Lind Hayes, Ricardo Molina, Kate Anthony, Rigo Sanchez, Yutaka Takeuchi, Tyshawn Bryant","Joan Rater (Writer), Adam Davidson (Director)",,/m12XifTzJpSbL2vaOZRdHah9IlH.jpg
2,15,Break on Through,2006-01-29,"All the nurses at Seattle Grace Hospital go on strike, leaving the doctors to fend for themselves. George refuses to cross the picket line and finally joins the nurses on their strike while Alex, Cristina, Izzie and Meredith meets Bailey's stand-in: Dr. Cindy Aaron, the complete opposite of Miranda Bailey. Izzie agrees to work on a difficult pregnancy case with Addison, while Cristina and Alex are in the pit attending to a young married woman with a real bad case of rash. Meredith happens on an old woman that she needs to intubate and then learns she was DNR.",43,"Steven W. Bailey, June Lockhart, Betty Garrett, Rae Allen, Teddi Siddall, Leisha Hailey, Monica Calhoun, Kenneth Mitchell, Sarah Utterback, Kali Rocha, Kate Burton","David Paymer (Director), Zoanne Clack (Writer)",,/6IxyBFP4MFHr1Ws3rgnfvhK7wxH.jpg
2,16,It's the End of the World,2006-02-05,"An explosive case arrives at the O.R. that might endanger all the lives of the people working there, which leads Dr. Burke to declare a ""Code Black"" for the hospital. Bailey worries where her husband is as she is in labor.  Also Izzie and Alex may be creating some heat.",43,"Kyle Chandler, Cress Williams, Jillian Armenante, Christina Ricci, Sarah Utterback","Peter Horton (Director), Shonda Rhimes (Writer)",,/anB12WXLD6EvuRfznw4BIAIcoHI.jpg
2,17,As We Know It,2006-02-12,"Derek is still operating when he finds out about Meredith's current situation. Meredith is freaking out about her situation. Webber and Bailey are dealing with medical health issues. Cristina and Izzie have their own issues to deal with because of Meredith's situation. Addison freaks out when George tries to find a solution to Bailey's impromtu postponement. Overall, Seattle Grace Hospital is still under code black and the situation is getting worse.",43,"Loretta Devine, Kyle Chandler, Cress Williams, Jillian Armenante, Christina Ricci","Peter Horton (Director), Shonda Rhimes (Writer), Lauren Mary Kim (Stunt Double)",,/maoIhR5FtPVyJevQk4NOOYpWB8.jpg
2,18,Yesterday,2006-02-19,"Derek and Addison's relationship is rocked to the core when a former friend comes to Seattle Grace and his presence promises to shake things up for a few members of the staff. Burke and Cristina's relationship is affected when one of her secrets is outted. Alex and Izzie are having similar reactions to their closet scenes during the Code Black crisis. On top of this a cocky doctor shows up to piss Derek off in all kinds of ways. A patient is suffering from constant orgasms and her condition sparks interesting conversations among the staff. George is trying to figure out how to get Meredith to see him as more than just a housemate. Another patient, that Derek is treating, is dealing with a rare disorder and needs his parents support and understanding. Burke has a patient who inspires him to talk to Meredith and Cristina about doing what they say they will. Meanwhile, Meredith learns more about her family (in fact maybe more than she may have wanted to know) through her parents.",43,"Eric Dane, Jeff Perry, Jesse Plemons, Steven W. Bailey, Deborah Geffner, Julio Oscar Mechoso, Kate Burton","Krista Vernoff (Writer), Mimi Schmir (Writer), Rob Corn (Director)",,/bSlMVz9SeNR9GuHJBJCeF2AEMoP.jpg
2,19,What Have I Done to Deserve This?,2006-02-26,"Meredith and George are experiencing  morning-after tension at home and at work and it has the rest of the doctors wondering what's up. Derek and Addison are experiencing their own version of morning-after tension as a result of Mark's visit to Seattle. Bailey, returning the favor that was done for her during the Code Black situation, must treat Addison for a specific feminine problem. Izzie and Alex are making headway in their relationship until Denny Duquette comes back. Soon Alex is not-so-oddly jealous of the attention Izzie is showing to Denny. Someone finds comfort in confiding in a patient who is going through an ordeal of his own. Burke deals with a patient and gets to observe the patient's unstable relationship with his fiancée.",43,"Sara Ramirez, Matt Roth, Mark Harelik, Ann Cusack, Noah Gray-Cabey, Sarah Utterback","Wendey Stanzler (Director), Stacy McKee (Writer)",,/hKygOGbinUIKWTvDjlfgoEgUHae.jpg
2,20,Band-Aid Covers the Bullet Hole,2006-03-12,"The doctors are up to their necks in their usual levels of drama. Meredith is dealing with the backlash of sleeping with George, George and Burke are bonding in ways that bother and creep out Cristina, Cristina gets stuck on diaper duty, Bailey gets involved in a case even though she's still supposed to be on maternity leave, Addison and Derek have a talk, and Izzie is still flaking on Alex for Denny Duquette, the heart patient who didn't get a heart. In the patients-of-the-week department we've got a very pregnant woman, a hockey player who desires medically unnessasary amputation, and a woman with a fork in her neck who happens to be dying and has a struggling marriage.",43,"Sara Ramirez, Teddy Dunn, Natalie Cole, Stephen Lee","Julie Anne Robinson (Director), Gabrielle G. Stanton (Writer), Harry Werksman (Writer)",,/kNMfd6uZX98G02ZRlJLbj73CqKS.jpg
2,21,Superstition,2006-03-19,After a series of deaths at the hospital some of the staff become very superstitious. Izzie worries about Denny and gets confronted by Alex.  A patient with OCD drives Cristina crazy. Derek and Addison discuss their relationships with Meredith. Richard treats a friend from 17 years ago who reveals a secret about a dark time in his past that involves Ellis. George gets an earful about the women he's not talking to. Burke and Cristina argue about kicking George out.,43,"Sara Ramirez, Michaela Watkins, Omar Metwally, Mary Kay Place, Anjul Nigam","Tricia Brock (Director), James D. Parriott (Writer)",,/alfjsc6bmpXHUieGsbULqAtTcmj.jpg
2,22,The Name of the Game,2006-04-02,"Meredith and Izzie take up knitting. Derek operates on Andrew, a spelling bee champ with a serious head injury. Bailey gets in on Andrew's surgery because she's worried that her coworkers won't recognize her Nazi-status now that she's a mother. Addison's patient has an unborn baby with medical issues. After Alex fails to bite his tongue when a terminal patient routinely lies to her daughter about her health he gets a lesson in bedside manners from Burke. George also begins to overstay his welcome at Burke's apartment after Callie visits him. Meredith has more confusing and uncomfortable encounters with members of her family. One of the female doctors meets a veterinarian named Finn. Izzie flirts with Denny and they play more naughty-Scrabble. Meredith, Derek, and Addison sarcastically take another small stab at their friendships.",43,"Sara Ramirez, Chris O'Donnell, Jeff Perry, Steven W. Bailey, Soledad St. Hilaire, Laurie Metcalf, Mare Winningham, Mandy Siegfried","Seith Mann (Director), Shonda Rhimes (Writer), Blythe Robe (Writer)",,/fDXKTgadZGaKYkXjKRqMEmAvRYA.jpg
2,23,Blues for Sister Someone,2006-04-30,"Addison's patient is a Catholic mother of seven. Addison gets in trouble after learning that the patient's husband won't use contraceptives. Derek treats a divorce attorney who asks if Derek is in need of her services. While Izzie and George are talking about their personal lives they ""overhear"" part of Derek's conversation with the divorce attorney who calls herself one of Seattle's best. Alex gets in trouble with Addison yet again for not being able to keep his mouth shut when other people think he should. A legendary jazz musician refuses to see medical reason. The musician is Burke's musical hero. Finn makes Meredith breakfast.",43,"Sara Ramirez, Chris O'Donnell, Albert Hall, Jean Louisa Kelly, Jayne Brook","Jeff Melman (Director), Shonda Rhimes (Writer), Elizabeth J.B. Klaviter (Writer)",,/nMgRzWfjk5s7YUI0w5ALRz8v5qy.jpg
2,24,Damage Case,2006-05-07,"The staff attends to an intern from another hospital who has short-term memory loss. This intern, named Marshall, also has caused a car accident that involved a married couple, their unborn baby and the woman's parents who the staff are also treating. The pregnant woman is named Melanie and she will die but her baby may survive. One of the female interns meets up with a woman from her past who is planning on having a family of her own. Cristina is in a good mood although Alex, Izzie, George, and Meredith are having problems but in the meantime Burke hasn't forgiven Cristina for her late night faux pas. Meredith and Izzie are making fun of Callie's household habits and George and Callie are having a fight because of George's roommates. Addison is continuing to own Alex and he's upset about it. Denny has an outburst at Izzie and Derek has an outburst at Meredith.",43,"Sara Ramirez, Chris O'Donnell, Maile Flanagan, Frances Fisher, John Cho","Tony Goldwyn (Director), Mimi Schmir (Writer)",,/4YHOdxjOpmoERFnxH7oyMOddFSx.jpg
2,25,17 Seconds,2006-05-14,"George and Derek work together, Denny still doesn't have a heart, and Meredith gets paired with Callie. A 12-week pregnant girl dies in the O.R. and her parents try to keep the baby alive. This causes tension between Derek and Addison. One doctor's overreaction unites two bickering patients. Finn is still treating Doc for medical problems.",43,"Sara Ramirez, Brooke Smith, Chris O'Donnell, Steven W. Bailey, Jesse Head, Sydney Tamiia Poitier, Ken Marino, Michael Arden, Michael Milhoan","Daniel Minahan (Director), Mark Wilding (Writer)",,/zBf0mMG9AZKF6JtVwtSeiVTM78T.jpg
2,26,Deterioration of the Fight or Flight Response,2006-05-15,Denny needs a heart or else. Izzie and George go crazy trying to get him one. Derek has the life of a friend in his hands as he operates on Burke who has been shot. Burke cannot operate on Denny after Denny's heart stopped and now Denny is in a dire condition. Cristina gets put in charge of the ER and she is worried about Burke.,43,"Sara Ramirez, Brooke Smith, Chris O'Donnell, Loretta Devine, Sarah Utterback, Tiffany Hines, Tessa Thompson, Hallee Hirsh","Joan Rater (Writer), Rob Corn (Director)",,/gpTuRDXUoDnKLHbIYbqw5RBOBbh.jpg
2,27,Losing My Religion,2006-05-15,This episode is the second part of a two-hour season finale.  Richard tries to get information from Addison about a family member's condition. Callie and George have a talk about his feelings. Meredith and Derek have a talk about Doc.,43,"Sara Ramirez, Brooke Smith, Chris O'Donnell, Loretta Devine, Sarah Utterback, Tiffany Hines, Tessa Thompson, Hallee Hirsh","Mark Tinker (Director), Shonda Rhimes (Writer)",,/gnMN2Zn6NULSwxw9r13d3erEAg2.jpg
3,1,Time Has Come Today,2006-09-21,Meredith must make an important choice about which path she wants to follow to determine the future of her love life. While she considers her future she and others have flashbacks of their pasts. Cristina spends time with Burke while he recovers. Webber and Adele have a conversation after he spends the night at the hospital. Everyone attempts to deal with Izzie's choice to quit. George seeks relationship advice from Derek.,43,"Chris O'Donnell, Jessica Tuck, Loretta Devine, Steven W. Bailey, Paulina Olszynski, Joanie Fox, Steve Harris, Mia Wesley, Sarah Utterback, Kate Burton, Nicolette Collier","Daniel Minahan (Director), Shonda Rhimes (Writer)",,/hqnbLqRDZlMCjM9EN9nlAeoImzR.jpg
