season,episode_number,Episode Name,Star Name,Popularity
1,5,Shake Your Groove Thing,Barry Shabaka Henley,5.751
1,5,Shake Your Groove Thing,Jeff Doucette,3.13
1,5,Shake Your Groove Thing,Brent Sexton,5.811
1,5,Shake Your Groove Thing,Steven W. Bailey,1.681
1,5,Shake Your Groove Thing,Kate Forster,1.765
1,5,Shake Your Groove Thing,Jane Morris,1.826
1,5,Shake Your Groove Thing,Maurice J. Irvin,1.028
1,5,Shake Your Groove Thing,Kate Burton,11.654
1,6,If Tomorrow Never Comes,Bruce Weitz,5.524
1,6,If Tomorrow Never Comes,Lara Phillips,2.594
1,6,If Tomorrow Never Comes,Alex Alexander,0.674
1,6,If Tomorrow Never Comes,Jane Galloway Heitz,0.84
1,6,If Tomorrow Never Comes,Steven W. Bailey,1.681
1,6,If Tomorrow Never Comes,Sean Palmer,1.62
1,6,If Tomorrow Never Comes,Patricia Bethune,3.789
1,6,If Tomorrow Never Comes,Yvonne Farrow,1.037
1,6,If Tomorrow Never Comes,Yolanda Snowball,3.049
1,6,If Tomorrow Never Comes,Wally Rudolph,1.916
1,6,If Tomorrow Never Comes,Sharmila Devar,1.397
1,6,If Tomorrow Never Comes,Noelle McCutchen,0.6
1,6,If Tomorrow Never Comes,Maurice J. Irvin,1.028
1,7,The Self-Destruct Button,Russell Hornsby,8.085
1,7,The Self-Destruct Button,Kim Morgan Greene,1.906
1,7,The Self-Destruct Button,Joseph Kell,2.308
1,7,The Self-Destruct Button,Regan Forman,0.6
1,7,The Self-Destruct Button,Steve Monroe,3.619
1,7,The Self-Destruct Button,Ever Carradine,8.375
1,7,The Self-Destruct Button,Bill Birch,0.984
1,7,The Self-Destruct Button,Larry Cahn,0.84
1,7,The Self-Destruct Button,Shenita Moore,0.6
1,7,The Self-Destruct Button,Sarah Utterback,1.635
1,8,Save Me,Ping Wu,1.684
1,8,Save Me,Chad Einbinder,1.208
1,8,Save Me,Lisa Kaminir,1.246
1,8,Save Me,Kevin Rahm,5.502
1,8,Save Me,Sarah Hagan,3.904
1,8,Save Me,Anjul Nigam,2.498
1,8,Save Me,Josh Stamberg,4.859
1,8,Save Me,Joan McMurtrey,4.866
1,8,Save Me,Steven W. Bailey,1.681
1,8,Save Me,Kathleen Bailey,0.6
1,8,Save Me,Sarah Utterback,1.635
1,9,Who's Zoomin' Who?,Kate Walsh,9.702
1,9,Who's Zoomin' Who?,Wayne Wilderson,3.266
1,9,Who's Zoomin' Who?,Lauren Bowles,2.176
1,9,Who's Zoomin' Who?,Wendy Davis,0.893
1,9,Who's Zoomin' Who?,Catherine Dao,1.058
1,9,Who's Zoomin' Who?,Joyce Guy,2.741
1,9,Who's Zoomin' Who?,Patty McCormack,12.173
1,9,Who's Zoomin' Who?,Jack Shearer,2.227
1,9,Who's Zoomin' Who?,Robin Pearson Rose,2.949
1,9,Who's Zoomin' Who?,Jack Merrill,0.652
1,9,Who's Zoomin' Who?,Sarah Utterback,1.635
2,1,Raindrops Keep Falling On My Head,Steven W. Bailey,1.681
2,1,Raindrops Keep Falling On My Head,Wendy Gazelle,5.857
2,1,Raindrops Keep Falling On My Head,Noelle McCutchen,0.6
2,1,Raindrops Keep Falling On My Head,Robin Pearson Rose,2.949
2,1,Raindrops Keep Falling On My Head,Linda Klein,0.931
2,2,Enough is Enough (No More Tears),Loretta Devine,7.82
2,2,Enough is Enough (No More Tears),Lukas Behnken,1.659
2,2,Enough is Enough (No More Tears),Romy Rosemont,7.169
2,2,Enough is Enough (No More Tears),Scott Michael Campbell,5.845
2,2,Enough is Enough (No More Tears),Jim Gleason,3.023
2,2,Enough is Enough (No More Tears),Peter Birkenhead,0.84
2,2,Enough is Enough (No More Tears),David Haley,0.74
2,2,Enough is Enough (No More Tears),John Cappon,0.84
2,2,Enough is Enough (No More Tears),Yvette Cruise,0.957
2,2,Enough is Enough (No More Tears),Johanna McKay,0.6
2,2,Enough is Enough (No More Tears),Robin Pearson Rose,2.949
2,2,Enough is Enough (No More Tears),Jeremy Rabb,0.98
2,2,Enough is Enough (No More Tears),Linda Klein,0.931
2,2,Enough is Enough (No More Tears),Sarah Utterback,1.635
2,3,Make Me Lose Control,Angela Goethals,5.021
2,3,Make Me Lose Control,Noelle McCutchen,0.6
2,3,Make Me Lose Control,Jeremy Rabb,0.98
2,3,Make Me Lose Control,Linda Klein,0.931
2,3,Make Me Lose Control,Kate Burton,11.654
2,4,"Deny, Deny, Deny",Thomas Ian Nicholas,7.606
2,4,"Deny, Deny, Deny",Lee Garlington,8.905
2,4,"Deny, Deny, Deny",Katherine LaNasa,143.69
2,4,"Deny, Deny, Deny",Steven W. Bailey,1.681
2,4,"Deny, Deny, Deny",Don McManus,7.167
2,4,"Deny, Deny, Deny",Tsai Chin,4.096
2,4,"Deny, Deny, Deny",Noelle McCutchen,0.6
2,4,"Deny, Deny, Deny",Linda Eve Miller,0.692
2,4,"Deny, Deny, Deny",Kathleen M. Darcy,2.188
2,4,"Deny, Deny, Deny",Maurice J. Irvin,1.028
2,4,"Deny, Deny, Deny",Kate Burton,11.654
2,5,Bring the Pain,Michelle Krusiec,5.77
2,5,Bring the Pain,Mimi Kennedy,6.714
2,5,Bring the Pain,Daniel Bess,2.518
2,5,Bring the Pain,Steven W. Bailey,1.681
2,5,Bring the Pain,François Chau,3.772
2,5,Bring the Pain,Brent Briscoe,3.78
2,5,Bring the Pain,Sean Moran,3.391
2,5,Bring the Pain,Jeremy Rabb,0.98
2,5,Bring the Pain,Bashir Salahuddin,2.691
2,5,Bring the Pain,Kate Burton,11.654
2,6,Into You Like a Train,Bruce A. Young,6.52
2,6,Into You Like a Train,Kym Whitley,6.8
2,6,Into You Like a Train,Michelle Arthur,1.534
2,6,Into You Like a Train,Cynthia Ettinger,9.105
2,6,Into You Like a Train,Steven W. Bailey,1.681
2,6,Into You Like a Train,Monica Keena,9.423
2,6,Into You Like a Train,Kerry Carney,1.155
2,6,Into You Like a Train,Juliette Jeffers,0.732
2,6,Into You Like a Train,Karen Lew,1.4
2,6,Into You Like a Train,Patricia Bethune,3.789
2,6,Into You Like a Train,Ariel Felix,1.176
2,6,Into You Like a Train,Derick Alexander,1.341
2,6,Into You Like a Train,Yvette Cruise,0.957
2,6,Into You Like a Train,Robin Pearson Rose,2.949
2,6,Into You Like a Train,Rigo Sanchez,3.59
2,6,Into You Like a Train,Linda Klein,0.931
2,6,Into You Like a Train,Maurice J. Irvin,1.028
2,6,Into You Like a Train,Ray Ford,1.07
2,7,Something to Talk About,Tyrees Allen,1.174
2,7,Something to Talk About,Reni Santoni,7.476
2,7,Something to Talk About,Steven W. Bailey,1.681
2,7,Something to Talk About,Kerry Carney,1.155
2,7,Something to Talk About,Michelle Ongkingco,1.443
2,7,Something to Talk About,Elaine Kagan,1.541
2,7,Something to Talk About,Francis Guinan,1.731
2,7,Something to Talk About,Patti Yasutake,2.278
2,7,Something to Talk About,Joseph Sikora,11.566
2,7,Something to Talk About,Alie Ward,1.4
2,7,Something to Talk About,Cathy Lind Hayes,0.689
2,7,Something to Talk About,Maile Flanagan,7.022
2,7,Something to Talk About,Peyton Hinson,0.6
2,7,Something to Talk About,Keeshan Giles,0.733
2,7,Something to Talk About,Larry Weissman,1.553
2,7,Something to Talk About,Gianin Loffler,0.996
2,7,Something to Talk About,Maurice J. Irvin,1.028
2,8,Let It Be,Arija Bareikis,5.758
2,8,Let It Be,Shelley Berman,2.769
2,8,Let It Be,Joseph Lyle Taylor,1.883
2,8,Let It Be,Geoffrey Rivas,5.286
2,8,Let It Be,Brittany Ishibashi,2.939
2,8,Let It Be,Janet Rotblatt,2.745
2,8,Let It Be,Kate Blumberg,2.397
2,8,Let It Be,Kathleen M. Darcy,2.188
2,8,Let It Be,Linda Klein,0.931
2,8,Let It Be,Kai Lennox,5.417
2,8,Let It Be,Ray Ford,1.07
2,9,Thanks for the Memories,Brian Kerwin,3.058
2,9,Thanks for the Memories,Greg Pitts,2.181
2,9,Thanks for the Memories,Andrew James Allen,2.972
2,9,Thanks for the Memories,George Dzundza,6.375
2,9,Thanks for the Memories,Steven W. Bailey,1.681
2,9,Thanks for the Memories,Tim Griffin,2.397
2,9,Thanks for the Memories,Michael Matthys,1.252
2,9,Thanks for the Memories,Dee Nelson,3.817
2,9,Thanks for the Memories,Jack Yang,2.039
2,9,Thanks for the Memories,Gregor Manns,1.054
2,9,Thanks for the Memories,Mike Faiola,4.324
2,9,Thanks for the Memories,Sarah Utterback,1.635
2,10,Much Too Much,Curtis Armstrong,12.77
2,10,Much Too Much,Sunkrish Bala,3.044
2,10,Much Too Much,Jon Hershfield,0.898
2,10,Much Too Much,Margaret Welsh,3.212
2,10,Much Too Much,Pat Healy,12.373
2,10,Much Too Much,Robin Pearson Rose,2.949
2,10,Much Too Much,Sarah Utterback,1.635
2,11,Owner of a Lonely Heart,Curtis Armstrong,12.77
2,11,Owner of a Lonely Heart,Rosanna Arquette,16.592
2,11,Owner of a Lonely Heart,Timothy Bottoms,4.695
2,11,Owner of a Lonely Heart,Patricia Bethune,3.789
2,11,Owner of a Lonely Heart,Margaret Welsh,3.212
2,11,Owner of a Lonely Heart,Pat Healy,12.373
2,11,Owner of a Lonely Heart,Elaine Kao,1.901
2,11,Owner of a Lonely Heart,Sarah Utterback,1.635
2,12,Grandma Got Run Over By a Reindeer,Helen Slater,14.04
2,12,Grandma Got Run Over By a Reindeer,C.J. Sanders,2.596
2,12,Grandma Got Run Over By a Reindeer,Michael Hyatt,6.143
2,12,Grandma Got Run Over By a Reindeer,Steven W. Bailey,1.681
2,12,Grandma Got Run Over By a Reindeer,Andrew Bilgore,1.109
2,12,Grandma Got Run Over By a Reindeer,Kathe Mazur,4.099
2,12,Grandma Got Run Over By a Reindeer,Richard Jenik,0.73
2,12,Grandma Got Run Over By a Reindeer,Alan Fudge,3.991
2,12,Grandma Got Run Over By a Reindeer,Troy Curvey Jr.,1.861
2,12,Grandma Got Run Over By a Reindeer,Robin Pearson Rose,2.949
2,12,Grandma Got Run Over By a Reindeer,Linda Klein,0.931
2,12,Grandma Got Run Over By a Reindeer,Kathleen M. Darcy,2.188
2,12,Grandma Got Run Over By a Reindeer,Jenny O'Hara,14.017
2,13,Begin the Begin,Lauren Tom,8.955
2,13,Begin the Begin,Shannon Cochran,2.954
2,13,Begin the Begin,Stephen Spinella,3.158
2,13,Begin the Begin,John Prosky,3.004
2,13,Begin the Begin,Becca Gardner,3.689
2,13,Begin the Begin,Joyce Guy,2.741
2,13,Begin the Begin,Rob Narita,1.22
2,13,Begin the Begin,Linda Klein,0.931
2,13,Begin the Begin,Jeffrey Dean Morgan,36.763
2,13,Begin the Begin,Kate Burton,11.654
2,14,Tell Me Sweet Little Lies,Donovan Leitch,2.137
2,14,Tell Me Sweet Little Lies,Carole Cook,3.867
2,14,Tell Me Sweet Little Lies,Jill Holden,0.674
2,14,Tell Me Sweet Little Lies,Christopher Boyer,1.631
2,14,Tell Me Sweet Little Lies,Robin Pearson Rose,2.949
2,14,Tell Me Sweet Little Lies,Nancy Linari,2.031
2,14,Tell Me Sweet Little Lies,Cathy Lind Hayes,0.689
2,14,Tell Me Sweet Little Lies,Ricardo Molina,1.609
2,14,Tell Me Sweet Little Lies,Kate Anthony,0.907
2,14,Tell Me Sweet Little Lies,Rigo Sanchez,3.59
2,14,Tell Me Sweet Little Lies,Yutaka Takeuchi,2.786
2,14,Tell Me Sweet Little Lies,Tyshawn Bryant,0.98
2,15,Break on Through,Steven W. Bailey,1.681
2,15,Break on Through,June Lockhart,33.683
2,15,Break on Through,Betty Garrett,3.02
2,15,Break on Through,Rae Allen,1.362
2,15,Break on Through,Teddi Siddall,1.586
2,15,Break on Through,Leisha Hailey,3.197
2,15,Break on Through,Monica Calhoun,3.693
2,15,Break on Through,Kenneth Mitchell,2.45
2,15,Break on Through,Sarah Utterback,1.635
2,15,Break on Through,Kali Rocha,7.104
2,15,Break on Through,Kate Burton,11.654
2,16,It's the End of the World,Kyle Chandler,12.48
2,16,It's the End of the World,Cress Williams,7.729
2,16,It's the End of the World,Jillian Armenante,4.377
2,16,It's the End of the World,Christina Ricci,44.445
2,16,It's the End of the World,Sarah Utterback,1.635
2,17,As We Know It,Loretta Devine,7.82
2,17,As We Know It,Kyle Chandler,12.48
2,17,As We Know It,Cress Williams,7.729
2,17,As We Know It,Jillian Armenante,4.377
2,17,As We Know It,Christina Ricci,44.445
2,18,Yesterday,Eric Dane,20.542
2,18,Yesterday,Jeff Perry,6.106
2,18,Yesterday,Jesse Plemons,31.098
2,18,Yesterday,Steven W. Bailey,1.681
2,18,Yesterday,Deborah Geffner,1.086
2,18,Yesterday,Julio Oscar Mechoso,5.722
2,18,Yesterday,Kate Burton,11.654
2,19,What Have I Done to Deserve This?,Sara Ramirez,10.306
2,19,What Have I Done to Deserve This?,Matt Roth,3.358
2,19,What Have I Done to Deserve This?,Mark Harelik,5.508
2,19,What Have I Done to Deserve This?,Ann Cusack,9.425
2,19,What Have I Done to Deserve This?,Noah Gray-Cabey,4.176
2,19,What Have I Done to Deserve This?,Sarah Utterback,1.635
2,20,Band-Aid Covers the Bullet Hole,Sara Ramirez,10.306
2,20,Band-Aid Covers the Bullet Hole,Teddy Dunn,2.835
2,20,Band-Aid Covers the Bullet Hole,Natalie Cole,2.22
2,20,Band-Aid Covers the Bullet Hole,Stephen Lee,3.155
2,21,Superstition,Sara Ramirez,10.306
2,21,Superstition,Michaela Watkins,5.261
2,21,Superstition,Omar Metwally,6.294
2,21,Superstition,Mary Kay Place,5.342
2,21,Superstition,Anjul Nigam,2.498
2,22,The Name of the Game,Sara Ramirez,10.306
2,22,The Name of the Game,Chris O'Donnell,15.509
2,22,The Name of the Game,Jeff Perry,6.106
2,22,The Name of the Game,Steven W. Bailey,1.681
2,22,The Name of the Game,Soledad St. Hilaire,2.811
2,22,The Name of the Game,Laurie Metcalf,14.567
2,22,The Name of the Game,Mare Winningham,11.02
2,22,The Name of the Game,Mandy Siegfried,0.785
2,23,Blues for Sister Someone,Sara Ramirez,10.306
2,23,Blues for Sister Someone,Chris O'Donnell,15.509
2,23,Blues for Sister Someone,Albert Hall,2.265
2,23,Blues for Sister Someone,Jean Louisa Kelly,7.447
2,23,Blues for Sister Someone,Jayne Brook,5.422
2,24,Damage Case,Sara Ramirez,10.306
2,24,Damage Case,Chris O'Donnell,15.509
2,24,Damage Case,Maile Flanagan,7.022
2,24,Damage Case,Frances Fisher,20.374
2,24,Damage Case,John Cho,10.275
2,25,17 Seconds,Sara Ramirez,10.306
2,25,17 Seconds,Brooke Smith,10.044
2,25,17 Seconds,Chris O'Donnell,15.509
2,25,17 Seconds,Steven W. Bailey,1.681
2,25,17 Seconds,Jesse Head,1.58
2,25,17 Seconds,Sydney Tamiia Poitier,4.975
2,25,17 Seconds,Ken Marino,8.437
2,25,17 Seconds,Michael Arden,1.713
2,25,17 Seconds,Michael Milhoan,4.121
2,26,Deterioration of the Fight or Flight Response,Sara Ramirez,10.306
2,26,Deterioration of the Fight or Flight Response,Brooke Smith,10.044
2,26,Deterioration of the Fight or Flight Response,Chris O'Donnell,15.509
2,26,Deterioration of the Fight or Flight Response,Loretta Devine,7.82
2,26,Deterioration of the Fight or Flight Response,Sarah Utterback,1.635
2,26,Deterioration of the Fight or Flight Response,Tiffany Hines,3.561
2,26,Deterioration of the Fight or Flight Response,Tessa Thompson,14.257
2,26,Deterioration of the Fight or Flight Response,Hallee Hirsh,7.265
2,27,Losing My Religion,Sara Ramirez,10.306
2,27,Losing My Religion,Brooke Smith,10.044
2,27,Losing My Religion,Chris O'Donnell,15.509
2,27,Losing My Religion,Loretta Devine,7.82
2,27,Losing My Religion,Sarah Utterback,1.635
2,27,Losing My Religion,Tiffany Hines,3.561
2,27,Losing My Religion,Tessa Thompson,14.257
2,27,Losing My Religion,Hallee Hirsh,7.265
3,1,Time Has Come Today,Chris O'Donnell,15.509
3,1,Time Has Come Today,Jessica Tuck,8.436
3,1,Time Has Come Today,Loretta Devine,7.82
3,1,Time Has Come Today,Steven W. Bailey,1.681
3,1,Time Has Come Today,Paulina Olszynski,0.841
3,1,Time Has Come Today,Joanie Fox,0.6
3,1,Time Has Come Today,Steve Harris,9.318
3,1,Time Has Come Today,Mia Wesley,0.636
3,1,Time Has Come Today,Sarah Utterback,1.635
3,1,Time Has Come Today,Kate Burton,11.654
3,1,Time Has Come Today,Nicolette Collier,1.004
3,2,I Am a Tree,Diahann Carroll,1.484
3,2,I Am a Tree,Chris O'Donnell,15.509
3,2,I Am a Tree,Steven W. Bailey,1.681
3,2,I Am a Tree,Peter Paige,2.666
3,2,I Am a Tree,Richard Roundtree,10.131
3,2,I Am a Tree,Roxanne Hart,7.17
3,3,Sometimes a Fantasy,Chris O'Donnell,15.509
3,3,Sometimes a Fantasy,Kevin Will,0.915
3,3,Sometimes a Fantasy,Gabriel Casseus,4.462
3,3,Sometimes a Fantasy,Lanei Chapman,4.145
3,3,Sometimes a Fantasy,Jack Conley,4.705
3,3,Sometimes a Fantasy,Abigail Breslin,16.077
3,4,What I Am,Chris O'Donnell,15.509
3,4,What I Am,Steven W. Bailey,1.681
3,4,What I Am,Tina Holmes,2.921
3,4,What I Am,Alan Blumenfeld,1.611
3,4,What I Am,Stephanie Faracy,6.035
3,4,What I Am,Fred Ward,11.122
3,5,"Oh, the Guilt",Maurice J. Irvin,1.028
3,5,"Oh, the Guilt",Faith Prince,3.392
3,5,"Oh, the Guilt",Justina Machado,6.983
3,5,"Oh, the Guilt",Arye Gross,9.571
3,5,"Oh, the Guilt",Margo Harshman,10.913
3,5,"Oh, the Guilt",Todd Babcock,2.017
3,5,"Oh, the Guilt",Kate Anthony,0.907
3,6,Let the Angels Commit,Embeth Davidtz,19.448
3,6,Let the Angels Commit,Liza Lapira,9.188
3,6,Let the Angels Commit,Jillian Bach,4.344
3,6,Let the Angels Commit,Edwin Hodge,9.312
3,7,Where the Boys Are,George Dzundza,6.375
3,7,Where the Boys Are,Steven W. Bailey,1.681
3,7,Where the Boys Are,Jim Parrack,5.074
3,7,Where the Boys Are,Alexandra Billings,7.561
3,7,Where the Boys Are,Alexandra Holden,9.588
3,7,Where the Boys Are,Clare Carey,8.295
3,7,Where the Boys Are,Kali Rocha,7.104
3,7,Where the Boys Are,Monica Sanchez,1.828
3,8,Staring at the Sun,Greg Pitts,2.181
3,8,Staring at the Sun,George Dzundza,6.375
3,8,Staring at the Sun,Steven W. Bailey,1.681
3,8,Staring at the Sun,Matt Winston,4.533
3,8,Staring at the Sun,Kate Burton,11.654
3,9,From a Whisper to a Scream,Brooke Smith,10.044
3,9,From a Whisper to a Scream,George Dzundza,6.375
3,9,From a Whisper to a Scream,Kate Anthony,0.907
3,9,From a Whisper to a Scream,Linda Klein,0.931
3,9,From a Whisper to a Scream,Lois Smith,7.811
3,9,From a Whisper to a Scream,Emy Coligado,9.139
3,9,From a Whisper to a Scream,Debra Monk,5.68
3,10,Don't Stand So Close to Me,Brooke Smith,10.044
3,10,Don't Stand So Close to Me,Greg Pitts,2.181
3,10,Don't Stand So Close to Me,George Dzundza,6.375
3,10,Don't Stand So Close to Me,Randy Sklar,1.248
3,10,Don't Stand So Close to Me,Jennifer Aspen,4.342
3,10,Don't Stand So Close to Me,Jason Sklar,3.324
3,10,Don't Stand So Close to Me,Mare Winningham,11.02
3,10,Don't Stand So Close to Me,Debra Monk,5.68
3,10,Don't Stand So Close to Me,Mandy Siegfried,0.785
3,10,Don't Stand So Close to Me,Kate Burton,11.654
3,11,Six Days (1),Greg Pitts,2.181
3,11,Six Days (1),Jeff Perry,6.106
3,11,Six Days (1),George Dzundza,6.375
3,11,Six Days (1),Sarah Utterback,1.635
3,11,Six Days (1),Judith Hoag,4.032
3,11,Six Days (1),Mae Whitman,21.023
3,11,Six Days (1),Debra Monk,5.68
3,11,Six Days (1),Michael James Thompson,1.094
3,12,Six Days (2),Greg Pitts,2.181
3,12,Six Days (2),Jeff Perry,6.106
3,12,Six Days (2),George Dzundza,6.375
3,12,Six Days (2),Steven W. Bailey,1.681
3,12,Six Days (2),Judith Hoag,4.032
3,12,Six Days (2),Mae Whitman,21.023
3,12,Six Days (2),Debra Monk,5.68
3,13,Great Expectations,Jessica Stroup,7.158
3,13,Great Expectations,Rachel Boston,13.007
3,13,Great Expectations,Loretta Devine,7.82
3,14,Wishin' and Hopin',Maile Flanagan,7.022
3,14,Wishin' and Hopin',Sarah Utterback,1.635
3,14,Wishin' and Hopin',Kate Burton,11.654
3,15,Walk on Water,Paul Perri,2.204
3,15,Walk on Water,Elizabeth Reaser,14.07
3,15,Walk on Water,Dean Norris,17.881
3,15,Walk on Water,Kali Rocha,7.104
3,15,Walk on Water,Kate Burton,11.654
3,16,Drowning on Dry Land,Kyle Chandler,12.48
3,16,Drowning on Dry Land,Mac Brandt,3.423
3,16,Drowning on Dry Land,Elizabeth Reaser,14.07
3,16,Drowning on Dry Land,Dean Norris,17.881
3,16,Drowning on Dry Land,Jeffrey Dean Morgan,36.763
3,16,Drowning on Dry Land,Kali Rocha,7.104
3,16,Drowning on Dry Land,Kate Burton,11.654
3,17,Some Kind of Miracle,Kyle Chandler,12.48
3,17,Some Kind of Miracle,Michelle Arthur,1.534
3,17,Some Kind of Miracle,Steven W. Bailey,1.681
3,17,Some Kind of Miracle,Anna Maria Horsford,5.118
3,17,Some Kind of Miracle,Monica Keena,9.423
3,17,Some Kind of Miracle,Sarah Utterback,1.635
3,17,Some Kind of Miracle,Elizabeth Reaser,14.07
3,17,Some Kind of Miracle,Jeffrey Dean Morgan,36.763
3,17,Some Kind of Miracle,Kali Rocha,7.104
3,17,Some Kind of Miracle,Kate Burton,11.654
3,18,Scars and Souvenirs,Jeff Perry,6.106
3,18,Scars and Souvenirs,Shohreh Aghdashloo,30.65
3,18,Scars and Souvenirs,James Gammon,5.195
3,18,Scars and Souvenirs,Elizabeth Reaser,14.07
3,18,Scars and Souvenirs,Roger Rees,6.08
3,18,Scars and Souvenirs,Mare Winningham,11.02
3,19,My Favorite Mistake,Michael Boatman,4.485
3,19,My Favorite Mistake,Hector Elizondo,11.927
3,19,My Favorite Mistake,Elizabeth Reaser,14.07
3,19,My Favorite Mistake,Elisabeth Moss,12.769
3,19,My Favorite Mistake,Catherine Dent,7.835
3,19,My Favorite Mistake,Roger Rees,6.08
3,20,Time After Time,Steven W. Bailey,1.681
3,20,Time After Time,Dee Wallace,16.224
3,20,Time After Time,Suzanne Cryer,7.01
3,20,Time After Time,Tim Hopper,3.583
3,20,Time After Time,Roger Rees,6.08
3,20,Time After Time,Mare Winningham,11.02
3,20,Time After Time,Elizabeth Reaser,14.07
3,21,Desire,Mitch Pileggi,9.835
3,21,Desire,Rowena King,2.933
3,21,Desire,Mary-Margaret Humes,3.319
3,21,Desire,Kali Rocha,7.104
3,21,Desire,Elizabeth Reaser,14.07
3,22,The Other Side of This Life (1),Paul Adelstein,11.204
3,22,The Other Side of This Life (1),Diahann Carroll,1.484
3,22,The Other Side of This Life (1),​Christopher Lowell,6.79
3,22,The Other Side of This Life (1),Bellamy Young,7.987
3,22,The Other Side of This Life (1),D.W. Moffett,2.596
3,22,The Other Side of This Life (1),Jeff Perry,6.106
3,22,The Other Side of This Life (1),Becky Wahlstrom,2.675
3,22,The Other Side of This Life (1),Parisa Fitz-Henley,7.927
3,22,The Other Side of This Life (1),William Jackson ,0.6
3,22,The Other Side of This Life (1),Robin Hines,1.435
3,22,The Other Side of This Life (1),Amy Brenneman,20.163
3,22,The Other Side of This Life (1),Tim Daly,16.557
3,22,The Other Side of This Life (1),Stephanie Niznik,4.283
3,22,The Other Side of This Life (1),Mare Winningham,11.02
3,22,The Other Side of This Life (1),Raphael Sbarge,6.139
3,22,The Other Side of This Life (1),Elizabeth Reaser,14.07
3,22,The Other Side of This Life (1),David Anders,6.847
3,23,The Other Side of This Life (2),Diahann Carroll,1.484
3,23,The Other Side of This Life (2),Bellamy Young,7.987
3,23,The Other Side of This Life (2),Jeff Perry,6.106
3,23,The Other Side of This Life (2),Becky Wahlstrom,2.675
3,23,The Other Side of This Life (2),Tim Daly,16.557
3,23,The Other Side of This Life (2),Stephanie Niznik,4.283
3,23,The Other Side of This Life (2),Mare Winningham,11.02
3,23,The Other Side of This Life (2),Raphael Sbarge,6.139
